# 1629 FLIRT/identified names (VC6/MFC42/std)
0x00421090 _mbtowc
0x00421110 __mbtowc_lk
0x00421210 __allshl
0x00421230 _ungetc
0x004212C0 __sopen
0x00421660 _wcstombs
0x004216E0 __wcstombs_lk
0x004218D0 _wcsncnt
0x00421910 __getenv_lk
0x004219A0 _tolower
0x00421A30 _tolower_0
0x00421B30 ___crtMessageBoxA
0x00421BC0 __fcloseall
0x00421C60 ___init_time
0x00421D10 __get_lc_time
0x00422090 __free_lc_time
0x004222D0 _storeTimeFmt
0x004223D0 ___init_numeric
0x004225D0 _fix_grouping
0x00422610 ___init_monetary
0x00422700 __get_lc_lconv
0x00422850 __free_lc_lconv
0x00422B80 __control87
0x00422BC0 __controlfp
0x00422BE0 __abstract_cw
0x00422C80 __hw_cw
0x00422D10 __ZeroTail
0x00422D80 __IncMan
0x00422DF0 __RoundMan
0x00422E90 __CopyMan
0x00422EB0 __FillZeroMan
0x00422EC0 __IsZeroMan
0x00422EE0 __ShrMan
0x00422FA0 __ld12cvt
0x00423230 __fptostr
0x004232D0 __fltout2
0x00423360 ___dtold
0x00423420 __fptrap
0x00423430 _raise
0x00423640 _siglookup
0x00423680 __chsize_lk
0x004237D0 __mbsnbicoll
0x00423810 ___wtomb_environ
0x00423890 ___getlocaleinfo
0x00423A40 ___crtGetLocaleInfoW
0x00423B70 ___crtGetLocaleInfoA
0x00423CB0 ___addl
0x00423CE0 ___add_12
0x00423D50 ___shl_12
0x00423D80 ___shr_12
0x00423DB0 ___mtold12
0x00423EB0 ___strgtold12
0x00424640 _$I10_OUTPUT
0x004249D0 __setmode
0x00424A40 __setmode_lk
0x00424AB0 ___crtCompareStringA
0x00424D80 ___crtsetenv
0x00424F90 _findenv
0x00425010 _copy_environ
0x00425080 ___ld12mul
0x00425340 ___multtenpow12
0x004253D0 RtlUnwind
0x004253D6 ReuseDDElParam
0x004253DC UnpackDDElParam
0x004253E2 GetFileTitleA
0x004253E8 GetSaveFileNameA
0x004253EE GetOpenFileNameA
0x004253F4 CommDlgExtendedError
0x004253FA PrintDlgA
0x00425400 ClosePrinter
0x00425406 DocumentPropertiesA
0x0042540C OpenPrinterA
0x00425412 DrawDibDraw
0x00425418 DrawDibRealize
0x0042541E DrawDibClose
0x00425424 DrawDibOpen
0x00425430 ?write@ostream@@QAEAAV1@PBDH@Z
0x00425480 ??5istream@@QAEAAV0@AAJ@Z
0x00425510 ??_Gistream@@UAEPAXI@Z
0x00425540 ??0istream@@QAE@PAVstreambuf@@@Z
0x004255E0 ??1istream@@UAE@XZ
0x004255F0 ?ipfx@istream@@QAEHH@Z
0x004256F0 ??5istream@@QAEAAV0@PAD@Z
0x00425810 ?peek@istream@@QAEHXZ
0x00425880 ?eatwhite@istream@@QAEXXZ
0x00425930 __mtlockinit
0x00425940 __mtlockterm
0x00425950 __mtlock
0x00425960 __mtunlock
0x00425970 ?get@istream@@IAEAAV1@PADHH@Z
0x00425A70 ??0ios@@IAE@XZ
0x00425AE0 ??_Gios@@UAEPAXI@Z
0x00425B00 ??1ios@@UAE@XZ
0x00425B60 ?init@ios@@IAEXPAVstreambuf@@@Z
0x00425BA0 ??_Distream@@QAEXXZ
0x00425BC0 ??0filebuf@@QAE@XZ
0x00425BE0 ??_Gfilebuf@@UAEPAXI@Z
0x00425C00 ??1filebuf@@UAE@XZ
0x00425C80 ?close@filebuf@@QAEPAV1@XZ
0x00425D00 ?overflow@filebuf@@UAEHH@Z
0x00425D90 ?underflow@filebuf@@UAEHXZ
0x00425E50 ?seekoff@filebuf@@UAEJJW4seek_dir@ios@@H@Z
0x00425EA0 ?sync@filebuf@@UAEHXZ
0x00425FA0 ?setbuf@filebuf@@UAEPAVstreambuf@@PADH@Z
0x00426020 ??0strstreambuf@@QAE@XZ
0x00426050 ??_Gstrstreambuf@@UAEPAXI@Z
0x00426070 ??0strstreambuf@@QAE@PADH0@Z
0x00426130 ??1strstreambuf@@UAE@XZ
0x004261A0 ?freeze@strstreambuf@@QAEXH@Z
0x004261C0 ?str@strstreambuf@@QAEPADXZ
0x004261D0 ?doallocate@strstreambuf@@MAEHXZ
0x00426300 ?setbuf@strstreambuf@@UAEPAVstreambuf@@PADH@Z
0x00426310 ?overflow@strstreambuf@@UAEHH@Z
0x004263A0 ?underflow@strstreambuf@@UAEHXZ
0x004263F0 ?seekoff@strstreambuf@@UAEJJW4seek_dir@ios@@H@Z
0x00426510 ??0istrstream@@QAE@PAD@Z
0x004265D0 ??_Gistrstream@@UAEPAXI@Z
0x00426600 ??0istrstream@@QAE@PADH@Z
0x004266C0 ??1istrstream@@UAE@XZ
0x004266E0 ??0ostrstream@@QAE@XZ
0x004267C0 ??_Dostream@@QAEXXZ
0x00426800 ??0strstream@@QAE@XZ
0x00426910 ?read@istream@@QAEAAV1@PADH@Z
0x00426990 ??5istream@@QAEAAV0@AAF@Z
0x00426A40 ??6ostream@@QAEAAV0@E@Z
0x00426B00 ?opfx@ostream@@QAEHXZ
0x00426B80 ?osfx@ostream@@QAEXXZ
0x00426C50 ??6ostream@@QAEAAV0@PBD@Z
0x00426C80 ?flush@ostream@@QAEAAV1@XZ
0x00426D50 ??0ostream@@QAE@PAVstreambuf@@@Z
0x00426DF0 ?writepad@ostream@@AAEAAV1@PBD0@Z
0x00426FF0 ?open@filebuf@@QAEPAV1@PBDHH@Z
0x00427190 ?setmode@filebuf@@QAEHH@Z
0x00427240 ??0ofstream@@QAE@PBDHH@Z
0x00427350 ?getint@istream@@AAEHPAD@Z
0x00427550 ?snextc@streambuf@@QAEHXZ
0x004275B0 ?stossc@streambuf@@QAEXXZ
0x00427600 ?sgetc@streambuf@@QAEHXZ
0x00427630 ??0streambuf@@IAE@XZ
0x00427680 ??_Gstreambuf@@UAEPAXI@Z
0x004276A0 ??1streambuf@@UAE@XZ
0x004276E0 ?setbuf@streambuf@@UAEPAV1@PADH@Z
0x00427720 ?xsputn@streambuf@@UAEHPBDH@Z
0x00427780 ?xsgetn@streambuf@@UAEHPADH@Z
0x00427870 ?sync@streambuf@@UAEHXZ
0x00427890 ?allocate@streambuf@@IAEHXZ
0x004278B0 ?doallocate@streambuf@@MAEHXZ
0x004278F0 ?setb@streambuf@@IAEXPAD0H@Z
0x00427930 ?seekoff@streambuf@@UAEJJW4seek_dir@ios@@H@Z
0x00427940 ?seekpos@streambuf@@UAEJJH@Z
0x00427960 ?pbackfail@streambuf@@UAEHH@Z
0x004279D0 ??_Giostream@@UAEPAXI@Z
0x00427A00 ??0iostream@@QAE@PAVstreambuf@@@Z
0x00427AA0 ??1iostream@@UAE@XZ
0x00427B10 _LpfnGetDefWndProcNull
0x00427B30 _LpfnGetDefWndProc
0x00427B80 _SubclassWindow
0x00427C70 _CallWndProcFilterProc@12
0x00427D20 _HookSubclassWindow
0x00427D60 _CleanupSubclass
0x00427DC0 _DeleteObjectNull
0x00427DE0 _DeleteObjects
0x00427E10 _PatFill
0x00427E40 _DrawRec3d
0x00427F80 _DrawInsetRect3d
0x00427FF0 _ClipCtlDc
0x00428030 _MyGetTextExtent
0x004280E0 _Ctl3dRegister@4
0x00428150 _Ctl3dUnregister@4
0x00428210 _Ctl3dAutoSubclass@4
0x00428220 _Ctl3dAutoSubclassEx@8
0x00428360 _Ctl3dIsAutoSubclass@0
0x00428390 _Ctl3dUnAutoSubclass@0
0x00428430 _Ctl3dSubclassCtl@4
0x00428460 _Ctl3dUnsubclassCtl@4
0x00428570 _Ctl3dSubclassCtlEx@8
0x00428600 _CheckChildSubclass
0x004286B0 _Ctl3dCheckSubclassDlg@8
0x00428730 _Ctl3dSubclassDlgEx@8
0x004287A0 _Ctl3dCtlColorEx@12
0x00428830 _Ctl3dColorChange@0
0x00428860 _Ctl3dDlgFramePaintI@20
0x00428B10 _Ctl3dWinIniChange@0
0x00428BB0 _FInit3dDialogs
